Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-09-01,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-01,Śniadanie,"Eldorado Økologiske Blåbær","30x g",30,12.9,0.15,,,0.15,0,,,0,0,2.28,1.92,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-01,Śniadanie,"Kirsebær uten sten","25x g",25,10.25,0.175,,,0,0,,,,,2.25,2.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-01,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-09-01,Śniadanie,Mleko,"305x g",305,125.05,10.675,,,3.05,1.83,,,,,13.725,13.725,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305
2023-09-01,Obiad,"Home Food Kasza Jeczmienna Wiejska Gruba","70x g",70,228.2,7.7,,,0.42,0.14,,,0,0,46.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028
2023-09-01,Obiad,"Mięso z piersi kurczaka","200x g",200,198,43,0,43,2.6,0.6,0.6,0.6,,,0,0,116,0,,24,12,0.2,0.4,,1.2,,0.8,0,0,0.6,24.8,,1,480,0,66,0,770,,110,10,0.8,
2023-09-01,Obiad,"Olej rzepakowy uniwersalny","4x g",4,36,0,,,4,0.2668,2.5188,1.0336,0.3228,0.708,0,,0,0,,0,0,0,0,,0,,0,0,0,1.0692,0,,0,0,0,0,0.0016,0,,0,0,0,0
2023-09-01,Obiad,"Kapusta kiszona","140x g",140,28,1.54,,,0.28,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
